Feature,Type,Parish,GridRef,Image,Description,Link,BlueLias,MiddleLias,BeaconLimestone,BridportSands,InferiorOolite,HamHillStone,ForestMarble,Cornbrash,Corallian,Portland,Wardour,Purbeck,Wealden,UpperGreensand,Chalk,Flint,Heathstone,Other
Abbotsbury,Church,Abbotsbury,SY 57763 85216,,,https://dorsetbuildingstone.org,,,,,,,,,,Portesham,,Marble tomb,,,,,,
St. Catherine's,Church,Abbotsbury,SY 57255 84860,,,https://dorsetbuildingstone.org,,,,,,,,,,,,,,,,,,
Affpuddle and Bryantspudddle,Church,Affpuddle and Bryantspudddle,SY 80537 93719,,,https://dorsetbuildingstone.org,,,,,,Dressing,,,,Dressing,,"Cypris, Burr walls",,,,,,
Alderholt,Church,Alderholt,SU 10476 12605,,,https://dorsetbuildingstone.org,,,,,,,,,,,,,,,,,Walls,
Allington,Church,Allington,SY 46135 93097,,,https://dorsetbuildingstone.org,,,,,,,Walls,,,,,,,,,,,
Almer,Church,Almer,SY 91323 98939,,,https://dorsetbuildingstone.org,,,,,,,,,,,,Burr tower,,,,,Walls,
Alton Pancras,Church,Alton Pancras,SY 69880 02356,,,https://dorsetbuildingstone.org,,,,,,Dressing,,,,,,Cypris walls,,,,,,
Anderson,Church,Anderson,SY 88023 97541,,,https://dorsetbuildingstone.org,,,,,,Dressing,,,,,,,,,,,,
Winterborne Tomson,Church,Winterborne Tomson,SY 88472 97426,,,https://dorsetbuildingstone.org,,,,,,,,,,,,Burr dressing,,,,Walls,,
Arne,Church,Arne,SY 97234 88130,,,https://dorsetbuildingstone.org,,,,,,,,,,,,Burr walls,,,,,Walls,
Ashmore,Church,Ashmore,ST 91132 17779,,,https://dorsetbuildingstone.org,,,,,,,,,,,,,,Walls,,Walls,,
Askerswell,Church,Askerswell,SY 52991 92587,,,https://dorsetbuildingstone.org,,,,,Walls,,Tower,,,,,,,,,,,
Athelhampton,Church,Athelhampton,SY 77103 94136,,,https://dorsetbuildingstone.org,,,,,,,,,,Walls,,,,,,,,
Batcombe,Church,Batcombe,ST 61860 03872,,,https://dorsetbuildingstone.org,,,,,,,,,,,,,,,,,,
Beaminster,Church,Beaminster,ST 47893 01259,,,https://dorsetbuildingstone.org,,,,,Walls,Tower,,,,,,,,,,,,
Beer Hackett,Church,Beer Hackett,ST 59993 11772,,,https://dorsetbuildingstone.org,,,,,,,,,,,,,,,,,,
Benville,Church,Benville,ST 54 03,,,https://dorsetbuildingstone.org,,,,,,,,,,,,,,,,,,
Bere Regis,Church,Bere Regis,SY 84 94,,,https://dorsetbuildingstone.org,,,,,,,,,,,,Walls,,,,Walls,Walls,Bath dressing
Bettiscombe,Church,Bettiscombe,SY 39907 99980,,,https://dorsetbuildingstone.org,,,,,,Dressing,,,,,,,,Chert walls,,,,
Bincombe,Church,Bincombe,SY 68647 84562,,,https://dorsetbuildingstone.org,,,,,,,,,,,,,,,,,,
